Month,Client,Type,Project,Revenue,Cost,Resources_Total,Resources_Onshore,Resources_Offshore,Location_Onshore,Location_Offshore
2025-02,Audi,Project,Audi_Project_2,44472,116269,19,3,16,Germany,India
2025-04,Audi,Project,Audi_Project_4,27084,122393,17,3,14,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_2,41639,106597,15,4,11,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_2,37261,76214,10,3,7,Germany,India
2025-05,Audi,Project,Audi_Project_4,32742,125113,17,6,11,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_3,47460,91604,12,4,8,Germany,India
2025-05,BMW,Project,BMW_Project_3,36693,44270,6,2,4,Germany,India
2025-02,Audi,Project,Audi_Project_3,36246,110712,12,6,6,Germany,India
2025-02,Audi,Fixed_Position,N/A,625575,487338,57,21,36,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_1,20037,121315,15,5,10,Germany,India
2025-03,Audi,Project,Audi_Project_2,35414,167071,17,8,9,Germany,India
2025-04,Volkswagen,Fixed_Position,N/A,429180,345516,46,12,34,Germany,India
2025-05,Porsche,Project,Porsche_Project_4,54808,103349,15,2,13,Germany,India
2025-04,Porsche,Fixed_Position,N/A,413952,314919,44,11,33,Germany,India
2025-04,Porsche,Project,Porsche_Project_1,40000,101412,12,5,7,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_2,37261,76214,10,3,7,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_5,58284,165494,20,6,14,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_1,20037,121315,15,5,10,Germany,India
2025-02,Audi,Fixed_Position,N/A,625575,487338,57,21,36,Germany,India
2025-02,Mercedes,Fixed_Position,N/A,674368,526404,64,23,41,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_3,39558,96671,11,5,6,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_4,34935,94918,14,2,12,Germany,India
2025-03,Audi,Project,Audi_Project_3,36135,48816,6,2,4,Germany,India
2025-04,Porsche,Project,Porsche_Project_4,55141,86252,15,2,13,Germany,India
2025-06,BMW,Fixed_Position,N/A,736161,505530,69,18,51,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_1,20425,72286,10,3,7,Germany,India
2025-04,Mercedes,Fixed_Position,N/A,480216,388361,51,14,37,Germany,India
2025-02,Porsche,Project,Porsche_Project_3,57423,192411,20,9,11,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_1,32912,147750,16,6,10,Germany,India
2025-06,Mercedes,Project,Mercedes_Project_2,30014,104300,11,6,5,Germany,India
2025-02,Porsche,Project,Porsche_Project_4,46677,109335,11,6,5,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_3,47460,91604,12,4,8,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_3,56422,166696,20,9,11,Germany,India
2025-05,Mercedes,Fixed_Position,N/A,665984,493826,64,17,47,Germany,India
2025-06,Audi,Fixed_Position,N/A,696417,598959,69,28,41,Germany,India
2025-03,Mercedes,Project,Mercedes_Project_2,20967,47396,7,1,6,Germany,India
2025-02,Audi,Project,Audi_Project_3,36246,110712,12,6,6,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_3,57182,76353,7,4,3,Germany,India
2025-05,BMW,Project,BMW_Project_2,48599,64234,8,3,5,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_4,34935,94918,14,2,12,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_2,38694,137776,18,4,14,Germany,India
2025-06,Porsche,Fixed_Position,N/A,492614,388144,46,18,28,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_4,51827,45669,5,2,3,Germany,India
2025-06,BMW,Project,BMW_Project_3,38173,137435,20,5,15,Germany,India
2025-06,Mercedes,Project,Mercedes_Project_3,55560,160953,19,7,12,Germany,India
2025-02,Audi,Project,Audi_Project_1,33182,121680,14,5,9,Germany,India
2025-03,Audi,Fixed_Position,N/A,364640,274729,40,9,31,Germany,India
2025-06,Porsche,Project,Porsche_Project_2,24496,49800,6,2,4,Germany,India
2025-06,Audi,Project,Audi_Project_2,50257,90580,10,5,5,Germany,India
2025-04,Porsche,Project,Porsche_Project_4,55141,86252,15,2,13,Germany,India
2025-04,Volkswagen,Fixed_Position,N/A,429180,345516,46,12,34,Germany,India
2025-05,Audi,Project,Audi_Project_1,35392,110874,14,6,8,Germany,India
2025-02,Audi,Project,Audi_Project_3,36246,110712,12,6,6,Germany,India
2025-04,Porsche,Project,Porsche_Project_2,46113,133038,15,6,9,Germany,India
2025-06,BMW,Project,BMW_Project_3,38173,137435,20,5,15,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_5,26736,132048,16,4,12,Germany,India
2025-02,Mercedes,Fixed_Position,N/A,674368,526404,64,23,41,Germany,India
2025-04,BMW,Fixed_Position,N/A,395880,292790,40,10,30,Germany,India
2025-02,BMW,Project,BMW_Project_3,36476,42286,5,2,3,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_2,30189,67037,11,2,9,Germany,India
2025-06,Mercedes,Project,Mercedes_Project_3,55560,160953,19,7,12,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_3,29705,163116,18,9,9,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_2,37261,76214,10,3,7,Germany,India
2025-02,Audi,Project,Audi_Project_1,33182,121680,14,5,9,Germany,India
2025-05,BMW,Project,BMW_Project_1,27104,154698,18,7,11,Germany,India
2025-02,Porsche,Project,Porsche_Project_3,57423,192411,20,9,11,Germany,India
2025-05,BMW,Project,BMW_Project_2,48599,64234,8,3,5,Germany,India
2025-03,Porsche,Fixed_Position,N/A,474400,407038,50,18,32,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_2,55909,40810,5,2,3,Germany,India
2025-06,BMW,Project,BMW_Project_3,38173,137435,20,5,15,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_2,56178,104804,14,3,11,Germany,India
2025-03,Volkswagen,Fixed_Position,N/A,596640,447392,55,22,33,Germany,India
2025-05,Volkswagen,Fixed_Position,N/A,486480,406398,48,18,30,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_5,56031,92652,10,4,6,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_5,58284,165494,20,6,14,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_5,46497,72108,10,2,8,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_5,26736,132048,16,4,12,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_4,51827,45669,5,2,3,Germany,India
2025-04,Volkswagen,Fixed_Position,N/A,429180,345516,46,12,34,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_1,20037,121315,15,5,10,Germany,India
2025-03,Audi,Project,Audi_Project_1,32178,57970,7,2,5,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_1,45586,89403,13,2,11,Germany,India
2025-03,Porsche,Project,Porsche_Project_1,39660,187585,19,8,11,Germany,India
2025-01,BMW,Fixed_Position,N/A,399304,343339,38,15,23,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_1,45586,89403,13,2,11,Germany,India
2025-02,Porsche,Fixed_Position,N/A,638400,570815,70,25,45,Germany,India
2025-01,Volkswagen,Fixed_Position,N/A,648788,504577,68,17,51,Germany,India
2025-03,Mercedes,Fixed_Position,N/A,336838,261543,34,9,25,Germany,India
2025-04,Porsche,Project,Porsche_Project_4,55141,86252,15,2,13,Germany,India
2025-06,BMW,Project,BMW_Project_3,38173,137435,20,5,15,Germany,India
2025-06,Mercedes,Project,Mercedes_Project_2,30014,104300,11,6,5,Germany,India
2025-06,BMW,Project,BMW_Project_2,51108,173086,19,8,11,Germany,India
2025-03,Porsche,Project,Porsche_Project_2,24754,40277,5,2,3,Germany,India
2025-04,Audi,Project,Audi_Project_2,47020,51866,5,3,2,Germany,India
2025-03,Porsche,Project,Porsche_Project_2,24754,40277,5,2,3,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_2,56178,104804,14,3,11,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_1,44847,73301,10,3,7,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_1,27310,104426,14,5,9,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_3,57182,76353,7,4,3,Germany,India
2025-06,BMW,Fixed_Position,N/A,736161,505530,69,18,51,Germany,India
2025-01,BMW,Project,BMW_Project_1,55741,44569,7,2,5,Germany,India
2025-04,Mercedes,Project,Mercedes_Project_3,22889,42019,5,2,3,Germany,India
2025-05,Porsche,Project,Porsche_Project_4,54808,103349,15,2,13,Germany,India
2025-01,Audi,Fixed_Position,N/A,494649,423686,53,18,35,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_4,23832,40878,6,2,4,Germany,India
2025-06,BMW,Project,BMW_Project_2,51108,173086,19,8,11,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_1,20425,72286,10,3,7,Germany,India
2025-01,Audi,Project,Audi_Project_2,36043,90472,10,4,6,Germany,India
2025-06,Audi,Project,Audi_Project_3,33871,185962,19,8,11,Germany,India
2025-03,Audi,Project,Audi_Project_2,35414,167071,17,8,9,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_1,32912,147750,16,6,10,Germany,India
2025-05,Porsche,Project,Porsche_Project_1,26985,183844,18,8,10,Germany,India
2025-03,Audi,Project,Audi_Project_1,32178,57970,7,2,5,Germany,India
2025-05,Porsche,Fixed_Position,N/A,324840,234840,30,8,22,Germany,India
2025-01,BMW,Project,BMW_Project_1,55741,44569,7,2,5,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_5,26736,132048,16,4,12,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_5,58284,165494,20,6,14,Germany,India
2025-04,Audi,Fixed_Position,N/A,615664,424640,56,16,40,Germany,India
2025-05,Mercedes,Fixed_Position,N/A,665984,493826,64,17,47,Germany,India
2025-02,Porsche,Project,Porsche_Project_2,51812,101691,11,4,7,Germany,India
2025-01,Porsche,Project,Porsche_Project_2,50071,82729,9,4,5,Germany,India
2025-05,Porsche,Project,Porsche_Project_3,27953,182116,19,9,10,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_4,23832,40878,6,2,4,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_3,47460,91604,12,4,8,Germany,India
2025-01,Audi,Fixed_Position,N/A,494649,423686,53,18,35,Germany,India
2025-03,BMW,Project,BMW_Project_3,29186,153654,18,8,10,Germany,India
2025-06,Porsche,Project,Porsche_Project_2,24496,49800,6,2,4,Germany,India
2025-01,Audi,Project,Audi_Project_4,23665,90708,12,3,9,Germany,India
2025-04,BMW,Project,BMW_Project_3,56256,77638,9,4,5,Germany,India
2025-02,Mercedes,Fixed_Position,N/A,674368,526404,64,23,41,Germany,India
2025-06,BMW,Project,BMW_Project_3,38173,137435,20,5,15,Germany,India
2025-04,Mercedes,Project,Mercedes_Project_1,53122,194028,20,8,12,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_2,38694,137776,18,4,14,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_1,32912,147750,16,6,10,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_3,29705,163116,18,9,9,Germany,India
2025-01,Mercedes,Fixed_Position,N/A,529256,445618,56,18,38,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_2,55909,40810,5,2,3,Germany,India
2025-04,Audi,Project,Audi_Project_1,35514,70730,10,2,8,Germany,India
2025-06,Porsche,Project,Porsche_Project_4,51035,63942,8,3,5,Germany,India
2025-04,Porsche,Project,Porsche_Project_1,40000,101412,12,5,7,Germany,India
2025-02,BMW,Fixed_Position,N/A,560346,453729,61,16,45,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_4,34005,156480,20,4,16,Germany,India
2025-02,Porsche,Project,Porsche_Project_3,57423,192411,20,9,11,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_2,30189,67037,11,2,9,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_5,56031,92652,10,4,6,Germany,India
2025-01,Porsche,Project,Porsche_Project_1,57170,135516,15,7,8,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_2,41639,106597,15,4,11,Germany,India
2025-01,BMW,Fixed_Position,N/A,399304,343339,38,15,23,Germany,India
2025-03,BMW,Project,BMW_Project_3,29186,153654,18,8,10,Germany,India
2025-01,Audi,Project,Audi_Project_4,23665,90708,12,3,9,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_2,38694,137776,18,4,14,Germany,India
2025-05,Audi,Fixed_Position,N/A,668334,622434,69,27,42,Germany,India
2025-03,Porsche,Project,Porsche_Project_4,42872,50114,7,2,5,Germany,India
2025-03,Audi,Project,Audi_Project_4,58251,86920,15,2,13,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_4,34005,156480,20,4,16,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_3,39681,101272,14,4,10,Germany,India
2025-05,Audi,Project,Audi_Project_4,32742,125113,17,6,11,Germany,India
2025-03,Audi,Project,Audi_Project_3,36135,48816,6,2,4,Germany,India
2025-05,Audi,Project,Audi_Project_1,35392,110874,14,6,8,Germany,India
2025-03,Porsche,Project,Porsche_Project_4,42872,50114,7,2,5,Germany,India
2025-01,Porsche,Project,Porsche_Project_2,50071,82729,9,4,5,Germany,India
2025-06,Audi,Fixed_Position,N/A,696417,598959,69,28,41,Germany,India
2025-06,Audi,Project,Audi_Project_1,56987,47419,5,3,2,Germany,India
2025-06,BMW,Project,BMW_Project_1,55905,134952,19,3,16,Germany,India
2025-03,Mercedes,Project,Mercedes_Project_3,30899,146490,18,6,12,Germany,India
2025-05,Audi,Project,Audi_Project_3,24772,163967,19,7,12,Germany,India
2025-06,BMW,Project,BMW_Project_1,55905,134952,19,3,16,Germany,India
2025-04,Porsche,Project,Porsche_Project_2,46113,133038,15,6,9,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_5,31120,65212,7,3,4,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_1,21280,145870,17,6,11,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_2,29768,40223,6,1,5,Germany,India
2025-03,Audi,Project,Audi_Project_4,58251,86920,15,2,13,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_5,26736,132048,16,4,12,Germany,India
2025-06,Audi,Project,Audi_Project_4,44846,98208,13,3,10,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_3,39558,96671,11,5,6,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_2,41639,106597,15,4,11,Germany,India
2025-04,Porsche,Fixed_Position,N/A,413952,314919,44,11,33,Germany,India
2025-06,Audi,Project,Audi_Project_3,33871,185962,19,8,11,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_2,55909,40810,5,2,3,Germany,India
2025-06,Mercedes,Fixed_Position,N/A,355674,269360,34,12,22,Germany,India
2025-03,Audi,Project,Audi_Project_1,32178,57970,7,2,5,Germany,India
2025-03,Porsche,Project,Porsche_Project_3,24801,93185,11,4,7,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_4,51827,45669,5,2,3,Germany,India
2025-04,Porsche,Fixed_Position,N/A,413952,314919,44,11,33,Germany,India
2025-04,Porsche,Project,Porsche_Project_2,46113,133038,15,6,9,Germany,India
2025-02,Audi,Project,Audi_Project_2,44472,116269,19,3,16,Germany,India
2025-04,Audi,Project,Audi_Project_3,46982,113644,12,5,7,Germany,India
2025-01,BMW,Project,BMW_Project_3,56781,86184,11,3,8,Germany,India
2025-06,Porsche,Fixed_Position,N/A,492614,388144,46,18,28,Germany,India
2025-04,Audi,Project,Audi_Project_2,47020,51866,5,3,2,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_1,55142,45747,8,1,7,Germany,India
2025-01,Audi,Project,Audi_Project_4,23665,90708,12,3,9,Germany,India
2025-03,Audi,Project,Audi_Project_4,58251,86920,15,2,13,Germany,India
2025-03,Audi,Fixed_Position,N/A,364640,274729,40,9,31,Germany,India
2025-02,Porsche,Project,Porsche_Project_4,46677,109335,11,6,5,Germany,India
2025-02,Porsche,Fixed_Position,N/A,638400,570815,70,25,45,Germany,India
2025-05,Porsche,Project,Porsche_Project_2,53944,198160,19,10,9,Germany,India
2025-04,Mercedes,Project,Mercedes_Project_2,23329,54756,7,2,5,Germany,India
2025-02,Audi,Project,Audi_Project_2,44472,116269,19,3,16,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_5,58284,165494,20,6,14,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_1,45586,89403,13,2,11,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_5,46497,72108,10,2,8,Germany,India
2025-03,Audi,Fixed_Position,N/A,364640,274729,40,9,31,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_2,39569,129597,17,3,14,Germany,India
2025-06,Audi,Project,Audi_Project_2,50257,90580,10,5,5,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_3,26078,158879,17,8,9,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_3,58009,122885,15,5,10,Germany,India
2025-03,Audi,Project,Audi_Project_4,58251,86920,15,2,13,Germany,India
2025-01,BMW,Project,BMW_Project_2,26140,91932,11,5,6,Germany,India
2025-01,BMW,Fixed_Position,N/A,399304,343339,38,15,23,Germany,India
2025-06,Porsche,Project,Porsche_Project_2,24496,49800,6,2,4,Germany,India
2025-04,BMW,Project,BMW_Project_2,26788,78862,9,4,5,Germany,India
2025-02,Porsche,Project,Porsche_Project_2,51812,101691,11,4,7,Germany,India
2025-04,Volkswagen,Fixed_Position,N/A,429180,345516,46,12,34,Germany,India
2025-06,Porsche,Project,Porsche_Project_2,24496,49800,6,2,4,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_2,56178,104804,14,3,11,Germany,India
2025-03,Mercedes,Project,Mercedes_Project_2,20967,47396,7,1,6,Germany,India
2025-02,Volkswagen,Fixed_Position,N/A,700928,480160,64,16,48,Germany,India
2025-06,Mercedes,Project,Mercedes_Project_1,40952,67691,7,4,3,Germany,India
2025-06,BMW,Project,BMW_Project_2,51108,173086,19,8,11,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_3,26078,158879,17,8,9,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_2,30189,67037,11,2,9,Germany,India
2025-02,Audi,Fixed_Position,N/A,625575,487338,57,21,36,Germany,India
2025-03,Porsche,Fixed_Position,N/A,474400,407038,50,18,32,Germany,India
2025-05,BMW,Project,BMW_Project_2,48599,64234,8,3,5,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_1,27310,104426,14,5,9,Germany,India
2025-05,Audi,Project,Audi_Project_1,35392,110874,14,6,8,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_4,51827,45669,5,2,3,Germany,India
2025-06,BMW,Project,BMW_Project_3,38173,137435,20,5,15,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_4,24535,99282,9,5,4,Germany,India
2025-01,Mercedes,Fixed_Position,N/A,529256,445618,56,18,38,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_5,46497,72108,10,2,8,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_1,55142,45747,8,1,7,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_2,38694,137776,18,4,14,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_2,39569,129597,17,3,14,Germany,India
2025-02,Audi,Project,Audi_Project_4,56301,81272,12,4,8,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_3,56422,166696,20,9,11,Germany,India
2025-05,Audi,Fixed_Position,N/A,668334,622434,69,27,42,Germany,India
2025-02,Audi,Project,Audi_Project_4,56301,81272,12,4,8,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_1,20425,72286,10,3,7,Germany,India
2025-06,Mercedes,Project,Mercedes_Project_2,30014,104300,11,6,5,Germany,India
2025-03,Audi,Project,Audi_Project_3,36135,48816,6,2,4,Germany,India
2025-06,Porsche,Project,Porsche_Project_1,55351,36498,6,1,5,Germany,India
2025-01,BMW,Project,BMW_Project_3,56781,86184,11,3,8,Germany,India
2025-05,Audi,Project,Audi_Project_1,35392,110874,14,6,8,Germany,India
2025-02,Porsche,Fixed_Position,N/A,638400,570815,70,25,45,Germany,India
2025-03,Mercedes,Project,Mercedes_Project_1,26416,51276,6,2,4,Germany,India
2025-01,Volkswagen,Fixed_Position,N/A,648788,504577,68,17,51,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_5,26619,160922,17,7,10,Germany,India
2025-03,Porsche,Fixed_Position,N/A,474400,407038,50,18,32,Germany,India
2025-03,BMW,Project,BMW_Project_3,29186,153654,18,8,10,Germany,India
2025-06,Porsche,Project,Porsche_Project_2,24496,49800,6,2,4,Germany,India
2025-05,BMW,Fixed_Position,N/A,430790,335764,46,14,32,Germany,India
2025-04,Mercedes,Project,Mercedes_Project_3,22889,42019,5,2,3,Germany,India
2025-05,Audi,Project,Audi_Project_4,32742,125113,17,6,11,Germany,India
2025-01,BMW,Project,BMW_Project_1,55741,44569,7,2,5,Germany,India
2025-02,Porsche,Project,Porsche_Project_1,41654,62500,7,3,4,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_4,51827,45669,5,2,3,Germany,India
2025-05,BMW,Project,BMW_Project_2,48599,64234,8,3,5,Germany,India
2025-04,Mercedes,Project,Mercedes_Project_3,22889,42019,5,2,3,Germany,India
2025-03,Audi,Project,Audi_Project_4,58251,86920,15,2,13,Germany,India
2025-06,Mercedes,Project,Mercedes_Project_2,30014,104300,11,6,5,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_5,56031,92652,10,4,6,Germany,India
2025-01,BMW,Project,BMW_Project_2,26140,91932,11,5,6,Germany,India
2025-03,Mercedes,Fixed_Position,N/A,336838,261543,34,9,25,Germany,India
2025-04,Audi,Project,Audi_Project_4,27084,122393,17,3,14,Germany,India
2025-05,Porsche,Project,Porsche_Project_1,26985,183844,18,8,10,Germany,India
2025-03,BMW,Project,BMW_Project_2,27161,113610,12,6,6,Germany,India
2025-03,Audi,Project,Audi_Project_4,58251,86920,15,2,13,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_5,31120,65212,7,3,4,Germany,India
2025-05,Porsche,Project,Porsche_Project_4,54808,103349,15,2,13,Germany,India
2025-01,Audi,Project,Audi_Project_3,56500,96975,12,3,9,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_5,58284,165494,20,6,14,Germany,India
2025-04,BMW,Project,BMW_Project_2,26788,78862,9,4,5,Germany,India
2025-05,BMW,Project,BMW_Project_3,36693,44270,6,2,4,Germany,India
2025-05,Audi,Project,Audi_Project_3,24772,163967,19,7,12,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_3,26078,158879,17,8,9,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_3,39558,96671,11,5,6,Germany,India
2025-01,Audi,Project,Audi_Project_1,37496,50124,7,2,5,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_1,32912,147750,16,6,10,Germany,India
2025-03,Audi,Project,Audi_Project_2,35414,167071,17,8,9,Germany,India
2025-06,Porsche,Project,Porsche_Project_3,33065,38498,5,2,3,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_4,23832,40878,6,2,4,Germany,India
2025-04,Audi,Project,Audi_Project_3,46982,113644,12,5,7,Germany,India
2025-02,Volkswagen,Fixed_Position,N/A,700928,480160,64,16,48,Germany,India
2025-01,BMW,Project,BMW_Project_1,55741,44569,7,2,5,Germany,India
2025-05,BMW,Project,BMW_Project_3,36693,44270,6,2,4,Germany,India
2025-05,BMW,Project,BMW_Project_3,36693,44270,6,2,4,Germany,India
2025-03,Porsche,Project,Porsche_Project_2,24754,40277,5,2,3,Germany,India
2025-04,Porsche,Project,Porsche_Project_1,40000,101412,12,5,7,Germany,India
2025-04,Porsche,Project,Porsche_Project_2,46113,133038,15,6,9,Germany,India
2025-04,Audi,Project,Audi_Project_2,47020,51866,5,3,2,Germany,India
2025-01,Porsche,Project,Porsche_Project_4,58242,141439,17,7,10,Germany,India
2025-06,Volkswagen,Project,Volkswagen_Project_4,51827,45669,5,2,3,Germany,India
2025-03,Mercedes,Project,Mercedes_Project_2,20967,47396,7,1,6,Germany,India
2025-03,Volkswagen,Fixed_Position,N/A,596640,447392,55,22,33,Germany,India
2025-05,Volkswagen,Project,Volkswagen_Project_5,31120,65212,7,3,4,Germany,India
2025-06,Volkswagen,Fixed_Position,N/A,548632,413395,56,13,43,Germany,India
2025-01,Porsche,Project,Porsche_Project_1,57170,135516,15,7,8,Germany,India
2025-02,Mercedes,Project,Mercedes_Project_3,39558,96671,11,5,6,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_5,26736,132048,16,4,12,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_2,43788,129520,14,6,8,Germany,India
2025-02,Audi,Project,Audi_Project_1,33182,121680,14,5,9,Germany,India
2025-05,Mercedes,Project,Mercedes_Project_2,41639,106597,15,4,11,Germany,India
2025-06,Mercedes,Fixed_Position,N/A,355674,269360,34,12,22,Germany,India
2025-03,Volkswagen,Fixed_Position,N/A,596640,447392,55,22,33,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_2,30189,67037,11,2,9,Germany,India
2025-03,Porsche,Project,Porsche_Project_2,24754,40277,5,2,3,Germany,India
2025-02,Porsche,Fixed_Position,N/A,638400,570815,70,25,45,Germany,India
2025-02,Porsche,Project,Porsche_Project_2,51812,101691,11,4,7,Germany,India
2025-04,Volkswagen,Fixed_Position,N/A,429180,345516,46,12,34,Germany,India
2025-04,BMW,Project,BMW_Project_2,26788,78862,9,4,5,Germany,India
2025-02,Porsche,Project,Porsche_Project_2,51812,101691,11,4,7,Germany,India
2025-01,Mercedes,Fixed_Position,N/A,529256,445618,56,18,38,Germany,India
2025-02,Porsche,Project,Porsche_Project_4,46677,109335,11,6,5,Germany,India
2025-04,Porsche,Project,Porsche_Project_3,38292,116948,16,4,12,Germany,India
2025-02,Volkswagen,Project,Volkswagen_Project_5,56031,92652,10,4,6,Germany,India
2025-06,Volkswagen,Fixed_Position,N/A,548632,413395,56,13,43,Germany,India
2025-03,Audi,Project,Audi_Project_1,32178,57970,7,2,5,Germany,India
2025-01,Mercedes,Fixed_Position,N/A,529256,445618,56,18,38,Germany,India
2025-03,Audi,Project,Audi_Project_3,36135,48816,6,2,4,Germany,India
2025-04,Volkswagen,Project,Volkswagen_Project_4,22614,143716,16,7,9,Germany,India
2025-04,Porsche,Project,Porsche_Project_4,55141,86252,15,2,13,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_3,26078,158879,17,8,9,Germany,India
2025-01,Mercedes,Project,Mercedes_Project_2,30189,67037,11,2,9,Germany,India
2025-04,Porsche,Project,Porsche_Project_1,40000,101412,12,5,7,Germany,India
2025-02,BMW,Project,BMW_Project_3,36476,42286,5,2,3,Germany,India
2025-01,Volkswagen,Project,Volkswagen_Project_1,55142,45747,8,1,7,Germany,India
2025-05,Audi,Project,Audi_Project_3,24772,163967,19,7,12,Germany,India
2025-02,BMW,Project,BMW_Project_1,30016,67796,10,2,8,Germany,India
2025-03,Mercedes,Project,Mercedes_Project_2,20967,47396,7,1,6,Germany,India
2025-06,Volkswagen,Fixed_Position,N/A,548632,413395,56,13,43,Germany,India
2025-02,Audi,Fixed_Position,N/A,625575,487338,57,21,36,Germany,India
2025-03,Volkswagen,Project,Volkswagen_Project_1,45586,89403,13,2,11,Germany,India
2025-05,BMW,Project,BMW_Project_1,27104,154698,18,7,11,Germany,India
2025-05,BMW,Fixed_Position,N/A,430790,335764,46,14,32,Germany,India
